SEASON,GAME_DATE,HOME,AWAY,HOME_SPREAD,AWAY_SPREAD,OVER_UNDER,HOME_MONEYLINE,AWAY_MONEYLINE
2012,30/10/12,Cleveland Cavaliers,Washington Wizards,-5.5,5.5,191,-250,210
2012,30/10/12,Miami Heat,Boston Celtics,-8,8,184,-280,240
2012,30/10/12,Los Angeles Lakers,Dallas Mavericks,-8.5,8.5,187,-500,400
2012,31/10/12,Toronto Raptors,Indiana Pacers,3.5,-3.5,188.5,100,-120
2012,31/10/12,Philadelphia 76ers,Denver Nuggets,2,-2,201,110,-130
2012,31/10/12,Detroit Pistons,Houston Rockets,-3,3,188,-135,115
2012,31/10/12,New Orleans Pelicans,San Antonio Spurs,6,-6,189,255,-305
2012,31/10/12,Chicago Bulls,Sacramento Kings,-7.5,7.5,189,-275,235
2012,31/10/12,Utah Jazz,Dallas Mavericks,-7,7,190.5,-400,330
2012,31/10/12,Phoenix Suns,Golden State Warriors,-3.5,3.5,201.5,-140,120
2012,31/10/12,Los Angeles Clippers,Memphis Grizzlies,-4.5,4.5,187.5,-175,155
2012,31/10/12,Portland Trail Blazers,Los Angeles Lakers,3.5,-3.5,190.5,115,-135
2012,1/11/12,San Antonio Spurs,Oklahoma City Thunder,-3,3,201,-130,110
2012,2/11/12,Charlotte Hornets,Indiana Pacers,6.5,-6.5,185,250,-300
2012,2/11/12,Orlando Magic,Denver Nuggets,5.5,-5.5,197,210,-250
2012,2/11/12,Atlanta Hawks,Houston Rockets,-5.5,5.5,199,-220,180
2012,2/11/12,Boston Celtics,Milwaukee Bucks,-7.5,7.5,193,-330,270
2012,2/11/12,Cleveland Cavaliers,Chicago Bulls,2.5,-2.5,184,130,-150
2012,2/11/12,New Orleans Pelicans,Utah Jazz,3.5,-3.5,189,145,-165
2012,2/11/12,Minnesota Timberwolves,Sacramento Kings,-3,3,195.5,-150,130
2012,2/11/12,Oklahoma City Thunder,Portland Trail Blazers,-9.5,9.5,201.5,-450,350
2012,2/11/12,New York Knicks,Miami Heat,5.5,-5.5,194,220,-260
2012,2/11/12,Phoenix Suns,Detroit Pistons,-4,4,194.5,-200,170
2012,2/11/12,Golden State Warriors,Memphis Grizzlies,-1,-1,191.5,-102,-108
2012,2/11/12,Los Angeles Lakers,Los Angeles Clippers,5,-5,190,110,-130
2012,3/11/12,Washington Wizards,Boston Celtics,6,-6,192.5,200,-240
2012,3/11/12,Indiana Pacers,Sacramento Kings,-8.5,8.5,192.5,-345,285
2012,3/11/12,Miami Heat,Denver Nuggets,-9,9,205,-445,355
2012,3/11/12,Brooklyn Nets,Toronto Raptors,-6,6,191,-235,200
2012,3/11/12,Chicago Bulls,New Orleans Pelicans,-9,9,184.5,-580,455
2012,3/11/12,Houston Rockets,Portland Trail Blazers,-5,5,201,-230,195
2012,3/11/12,Dallas Mavericks,Charlotte Hornets,-11,11,187,-625,475
2012,3/11/12,San Antonio Spurs,Utah Jazz,-7,7,199,-335,275
2012,3/11/12,Milwaukee Bucks,Cleveland Cavaliers,-6,6,195.5,-300,250
2012,3/11/12,Los Angeles Clippers,Golden State Warriors,-8.5,8.5,195,-460,360
2012,4/11/12,New York Knicks,Philadelphia 76ers,-4.5,4.5,188,-160,140
2012,4/11/12,Toronto Raptors,Minnesota Timberwolves,-3.5,3.5,187,-160,140
2012,4/11/12,Orlando Magic,Phoenix Suns,-1.5,-1.5,194.5,-110,-110
2012,4/11/12,Oklahoma City Thunder,Atlanta Hawks,-10.5,10.5,199,-550,425
2012,4/11/12,Los Angeles Lakers,Detroit Pistons,-8.5,8.5,192,-360,300
2012,5/11/12,Philadelphia 76ers,New York Knicks,-4.5,4.5,185.5,-140,120
2012,5/11/12,Miami Heat,Phoenix Suns,-12.5,12.5,198,-1700,1100
2012,5/11/12,Brooklyn Nets,Minnesota Timberwolves,-8,8,193,-350,290
2012,5/11/12,Memphis Grizzlies,Utah Jazz,-5,5,196,-210,175
2012,5/11/12,Dallas Mavericks,Portland Trail Blazers,-5,5,195,-175,155
2012,5/11/12,San Antonio Spurs,Indiana Pacers,-7,7,197,-410,335
2012,5/11/12,Sacramento Kings,Golden State Warriors,-2,2,199.5,-125,105
2012,5/11/12,Los Angeles Clippers,Cleveland Cavaliers,-10.5,10.5,195,-700,500
2012,6/11/12,Chicago Bulls,Orlando Magic,-9.5,9.5,186,-520,415
2012,6/11/12,Oklahoma City Thunder,Toronto Raptors,-10,10,199,-505,400
2012,6/11/12,Denver Nuggets,Detroit Pistons,-10,10,198,-670,495
2012,7/11/12,Charlotte Hornets,Phoenix Suns,3,-3,191,130,-150
2012,7/11/12,Boston Celtics,Washington Wizards,-10.5,10.5,188,-610,455
2012,7/11/12,Miami Heat,Brooklyn Nets,-10.5,10.5,207.5,-650,475
2012,7/11/12,Atlanta Hawks,Indiana Pacers,-3,3,189.5,-175,155
2012,7/11/12,Minnesota Timberwolves,Orlando Magic,-6,6,194,-250,210
2012,7/11/12,New Orleans Pelicans,Philadelphia 76ers,1,-1,182,106,-117
2012,7/11/12,Houston Rockets,Denver Nuggets,-2,2,204.5,-145,125
2012,7/11/12,Milwaukee Bucks,Memphis Grizzlies,-1,1,197.5,-113,102
2012,7/11/12,Dallas Mavericks,Toronto Raptors,-6,6,198,-300,250
2012,7/11/12,Utah Jazz,Los Angeles Lakers,-3,3,195,-145,125
2012,7/11/12,Sacramento Kings,Detroit Pistons,-5,5,191.5,-270,230
2012,7/11/12,Golden State Warriors,Cleveland Cavaliers,-5,5,202,-240,200
2012,7/11/12,Los Angeles Clippers,San Antonio Spurs,-1,-1,199.5,-102,-108
2012,8/11/12,Chicago Bulls,Oklahoma City Thunder,1.5,-1.5,201.5,125,-145
2012,8/11/12,Portland Trail Blazers,Los Angeles Clippers,-1.5,1.5,201,-110,100
2012,9/11/12,Washington Wizards,Milwaukee Bucks,3,-3,189.5,140,-160
2012,9/11/12,Orlando Magic,Brooklyn Nets,2.5,-2.5,196.5,135,-155
2012,9/11/12,Boston Celtics,Philadelphia 76ers,-6,6,179.5,-230,190
2012,9/11/12,New York Knicks,Dallas Mavericks,-6,6,197.5,-260,220
2012,9/11/12,Atlanta Hawks,Miami Heat,5.5,-5.5,202,165,-190
2012,9/11/12,Memphis Grizzlies,Houston Rockets,-7,7,196.5,-300,250
2012,9/11/12,New Orleans Pelicans,Charlotte Hornets,-6.5,6.5,181,-290,245
2012,9/11/12,Oklahoma City Thunder,Detroit Pistons,-12,12,198.5,-850,625
2012,9/11/12,Minnesota Timberwolves,Indiana Pacers,-1.5,1.5,182.5,-130,110
2012,9/11/12,Phoenix Suns,Cleveland Cavaliers,-4.5,4.5,200.5,-150,130
2012,9/11/12,Sacramento Kings,San Antonio Spurs,5.5,-5.5,197,200,-240
2012,9/11/12,Denver Nuggets,Utah Jazz,-4.5,4.5,200.5,-240,200
2012,9/11/12,Los Angeles Lakers,Golden State Warriors,-6.5,6.5,195.5,-330,270
2012,10/11/12,Toronto Raptors,Philadelphia 76ers,-2,2,184.5,-140,120
2012,10/11/12,Indiana Pacers,Washington Wizards,-9,9,183,-360,300
2012,10/11/12,Charlotte Hornets,Dallas Mavericks,5,-5,194.5,220,-260
2012,10/11/12,Chicago Bulls,Minnesota Timberwolves,-7.5,7.5,185,-360,300
2012,10/11/12,Houston Rockets,Detroit Pistons,-8,8,195,-310,260
2012,10/11/12,Milwaukee Bucks,Boston Celtics,-1.5,-1.5,190,-105,-115
2012,10/11/12,Utah Jazz,Phoenix Suns,-9,9,201,-425,340
2012,10/11/12,Portland Trail Blazers,San Antonio Spurs,5,-5,198.5,120,-140
2012,10/11/12,Golden State Warriors,Denver Nuggets,1,-1,203,115,-135
2012,11/11/12,Brooklyn Nets,Orlando Magic,-8,8,191,-400,320
2012,11/11/12,Los Angeles Clippers,Atlanta Hawks,-5.5,5.5,198,-260,220
2012,11/11/12,Memphis Grizzlies,Miami Heat,2,-2,196,115,-135
2012,11/11/12,Oklahoma City Thunder,Cleveland Cavaliers,-9.5,9.5,203.5,-600,450
2012,11/11/12,Los Angeles Lakers,Sacramento Kings,-9.5,9.5,193.5,-680,490
2012,12/11/12,Toronto Raptors,Utah Jazz,3,-3,193,130,-150
2012,12/11/12,Philadelphia 76ers,Milwaukee Bucks,-3.5,3.5,188.5,-170,150
2012,12/11/12,Detroit Pistons,Oklahoma City Thunder,6.5,-6.5,195.5,250,-300
2012,12/11/12,Chicago Bulls,Boston Celtics,-3,3,184,-145,125
2012,12/11/12,Houston Rockets,Miami Heat,5,-5,195,190,-230
2012,12/11/12,Dallas Mavericks,Minnesota Timberwolves,-6.5,6.5,194.5,-290,245
2012,12/11/12,Phoenix Suns,Denver Nuggets,4.5,-4.5,201,170,-200
2012,12/11/12,Portland Trail Blazers,Atlanta Hawks,-2,2,197,-150,130
2012,13/11/12,Charlotte Hornets,Washington Wizards,-1.5,1.5,188,-130,110
2012,13/11/12,Orlando Magic,New York Knicks,6,-6,188,255,-310
2012,13/11/12,Indiana Pacers,Toronto Raptors,-8.5,8.5,185.5,-500,400
2012,13/11/12,Brooklyn Nets,Cleveland Cavaliers,-6,6,196,-230,190
